Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Irewick,Trasinf,Trasinf Earldom,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,capital,28002,439.15,319.55,37.43,-18.3,210,55°F,Milan (Italy),capital,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:sagittarius;t:sable;p:jln;t2:gules;t3:sable;size:0.7}];shield:roman},https://watabou.github.io/city-generator/?name=Irewick&population=28002&size=46&seed=5642600450001&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.03
2,Ortarith,Ven'tar,Ven'tar County,Ortarith,Duchy of Ortarith,Lothian (Dark Elfish),Witnesses of Elloragh,capital,43865,1054.27,488.7,27.23,18.81,30,66°F,Marrakesh (Morocco),capital,port,citadel,walls,plaza,temple,,{t1:or;ordinaries:[{ordinary:pileInBendSinister;t:purpure}];charges:[{charge:cancer;t:sable;p:ai;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Ortarith&population=43865&size=54&seed=5642600450002&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&style=natural&sea=0.83
3,Yruklu,Turkseki,Turkseki County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,capital,59273,1136.7,364.44,34.72,23.78,82,59°F,Rome (Italy),capital,port,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:gear;t:argent;p:abcdefgzi;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Yruklu&population=59273&size=61&seed=5642600450003&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&style=natural&sea=1.31
4,Castme,Picefove,Picefove Margrave,Staglenia,Kingdom of Staglenia,Anor (Human),Neverchism,capital,17556,401.9,234.3,42.57,-20.55,13,50°F,London (England),capital,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:hook;t:gules;p:abc;size:0.5}];shield:fantasy5},https://watabou.github.io/city-generator/?name=Castme&population=17556&size=38&seed=5642600450004&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
5,Ablyntar,Dober,Dober Barony,Onimydrait,Kingdom of Onimydrait,Lothian (Dark Elfish),Witnesses of Elloragh,capital,12921,1142.97,555.26,23.21,24.16,210,72°F,Guangzhou (China),capital,,citadel,walls,plaza,,,{t1:azure;charges:[{charge:crossPatonce;t:or;p:jeo;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Ablyntar&population=12921&size=34&seed=5642600450005&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
6,Shatharb,Shatharb,Shatharb County,Toza,Tozan Empire,Yotunn (Giants),Yotunn (Giants)ism,capital,22018,508.62,581.19,21.65,-14.11,52,73°F,Rio de Janeiro (Brazil),capital,,citadel,walls,plaza,temple,,{t1:vert;division:{division:perBendSinister;t:argent;line:straight};charges:[{charge:frog;t:or;p:j;size:0.7};{charge:goutte;t:sable;p:o;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Shatharb&population=22018&size=42&seed=5642600450006&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&style=natural
7,Dokuz,Dovyurt,Dovyurt County,Vuyurt,Vuyurt Khaganate,Rohand (Human),Asunyurt Blasphemy,capital,13922,846.01,214.28,43.78,6.25,13,48°F,Copenhagen (Denmark),capital,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:bendletSinister;t:purpure;line:straight}];charges:[{charge:drawingCompass;t:or;p:lem;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Dokuz&population=13922&size=35&seed=5642600450007&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.53
8,Pudrock,Dirtspidia,Dirtspidia Prefecture,Pudrock,Republic of Pudrock,Dail (Human),Arcanum of the Forefather of Love,capital,42187,293.2,262.38,40.88,-27.11,328,50°F,London (England),capital,,citadel,walls,plaza,temple,shanty town,{t1:or;charges:[{charge:peacockInPride;t:gules;p:e;t2:sable;t3:gules;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Pudrock&population=42187&size=53&seed=5642600450008&river=1&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&style=natural
9,Baydi,Baydi,Baydi Landgrave,Bocyurt,Beylik of Bocyurt,Rohand (Human),Witnesses of Elloragh,capital,3603,762.26,273.41,40.21,1.19,161,54°F,Paris (France),capital,port,citadel,walls,plaza,,,{t1:bendy-argent-sable;ordinaries:[{ordinary:cross;t:azure;line:straight}];charges:[{charge:anchor;t:argent;p:behdf;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Baydi&population=3603&size=21&seed=5642600450009&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.87
10,Yar,Ser,Ser County,Yaryurt,Yaryurt Horde,Rohand (Human),Neverchism,capital,3187,579.26,331.83,36.69,-9.85,82,55°F,Milan (Italy),capital,port,citadel,walls,plaza,,,{t1:purpure;division:{division:perCross;t:argent;line:straight};charges:[{charge:castle2;t:or;p:e;t2:or;t3:or;divided:counter;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yar&population=3187&size=20&seed=5642600450010&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.68
11,Yepeli,Yepeli,Yepeli District,Sazyurt,Republic of Sazyurt,Rohand (Human),Blasphemy of the Blond Spirit,capital,13842,996.25,212.56,43.88,15.31,13,48°F,Copenhagen (Denmark),capital,port,citadel,walls,plaza,,,{t1:or;charges:[{charge:foot;t:azure;p:jln;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Yepeli&population=13842&size=35&seed=5642600450011&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.97
12,Ayazbey,Ayazbey,Ayazbey County,Ayazbeyurt,Ayazbeyurt Horde,Rohand (Human),Neverchism,capital,3179,460.73,471.01,28.29,-17,52,64°F,Barcelona (Spain),capital,port,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:gemelle;t:or;line:straight}];charges:[{charge:wolfPassant;t:argent;p:abc;t2:argent;t3:argent;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Ayazbey&population=3179&size=20&seed=5642600450012&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.02
13,Dekin,Boyli,Boyli Province,Sazyurt,Republic of Sazyurt,Rohand (Human),Witnesses of Elloragh,town,2795,1071.86,224.08,43.19,19.87,30,50°F,London (England),,,,walls,plaza,,,{t1:azure;division:{division:chevronny;t:or};charges:[{charge:goutte;t:argent;p:kmo;divided:counter;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Dekin&population=2795&size=19&seed=5642600450013&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
14,Shimber,Eldfair,Eldfair County,Grirongria,Duchy of Grirongria,Dail (Human),Neverchism,town,2108,438.7,284.38,39.55,-18.33,210,54°F,Paris (France),,port,,,plaza,,,{t1:sable;charges:[{charge:dove;t:argent;p:e;t2:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Shimber&population=2108&size=17&seed=5642600450014&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.18
15,Ayrukluyu,Ayrukluyu,Ayrukluyu County,Sarprakeli,Sarprakelian Khaganate,Rohand (Human),Rohand (Human) Faith,city,18518,1117.38,381.65,33.68,22.62,13,59°F,Rome (Italy),,port,,walls,plaza,,,{t1:argent;charges:[{charge:anchor;t:purpure;p:def;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Ayrukluyu&population=18518&size=39&seed=5642600450015&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.81
16,Eribelen,Ayazbey,Ayazbey County,Ayazbeyurt,Ayazbeyurt Horde,Rohand (Human),Neverchism,town,3243,434.24,476.67,27.95,-18.6,266,64°F,Barcelona (Spain),,,,,,,,{t1:or;charges:[{charge:arbalest2;t:gules;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Eribelen&population=3243&size=20&seed=5642600450016&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
17,Monkh,Ayandalia,Ayandalia County,Sarprakeli,Sarprakelian Khaganate,Dulandir (Human),Monkhan Sect,town,3765,1371.63,184.68,45.56,37.96,472,43°F,Stockholm (Sweden),,,,,,,,{t1:argent;ordinaries:[{ordinary:pileInBend;t:sable}];charges:[{charge:bridge2;t:argent;p:e;size:0.5}];shield:easterling},https://watabou.github.io/city-generator/?name=Monkh&population=3765&size=21&seed=5642600450017&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
18,Karond,Hlaugref,Hlaugref County,Ortarith,Duchy of Ortarith,Lothian (Dark Elfish),Witnesses of Elloragh,city,16002,1089.48,507.31,26.1,20.94,210,68°F,Alexandria (Egypt),,,citadel,,plaza,,,{t1:sable;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:mullet4;t:gules;p:ABCDEFGHIJKL;t2:argent;t3:or;size:0.18};{charge:caravel;t:argent;p:e;size:1.1}];shield:wedged},https://watabou.github.io/city-generator/?name=Karond&population=16002&size=37&seed=5642600450018&river=1&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
19,Capjigen'ji,Skalu,Skalu Earldom,Vuyurt,Vuyurt Khaganate,Aj'Snaga (Serpents),Witnesses of Elloragh,town,2410,933.5,191.35,45.16,11.52,210,46°F,Prague (Czechia),,,,,,,,{t1:azure;charges:[{charge:oak;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Capjigen%27ji&population=2410&size=18&seed=5642600450019&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
20,Ovaboyli,Buyurt,Buyurt County,Ortarith,Duchy of Ortarith,Rohand (Human),Witnesses of Elloragh,town,5737,1088.7,464.4,28.69,20.89,118,64°F,Barcelona (Spain),,,,,plaza,,,{t1:sable;division:{division:perCross;t:argent;line:straight};charges:[{charge:fleurDeLis;t:or;p:j;size:0.6};{charge:peacock;t:vert;p:l;size:0.6};{charge:dragonfly;t:gules;p:m;size:0.6};{charge:lionHeadCaboshed;t:argent;p:o;size:0.6}];shield:round},https://watabou.github.io/city-generator/?name=Ovaboyli&population=5737&size=25&seed=5642600450020&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
