Id,Route,Group,Length
4,Platinum way,roads,1192 mi
990,Shatharb lane,searoutes,877 mi
1,The Obscure Yepelian route,roads,847 mi
1033,Divine seaway,searoutes,835 mi
6,Flower road,roads,746 mi
597,Ilaugroth pass,trails,702 mi
604,Dobetish trail,trails,693 mi
498,Ziledzah track,trails,693 mi
316,Kumush trail,trails,666 mi
986,Topkoybur seaway,searoutes,624 mi
0,Dokuz way,roads,604 mi
232,Tulbarak trail,trails,584 mi
3,Wild way,roads,574 mi
319,Ozuzaburuan track,trails,549 mi
1024,Jade sea route,searoutes,541 mi
453,Shunnerg trail,trails,514 mi
587,Blus path,trails,509 mi
1038,Khundus passage,searoutes,504 mi
207,Jeweled track,trails,500 mi
5,Echo road,roads,493 mi
417,Vulthan trail,trails,488 mi
220,The Sacred Khatholan track,trails,478 mi
73,Dhezronese pass,trails,474 mi
921,Rhiqedan track,trails,473 mi
994,Baydian passage,searoutes,472 mi
650,The Serpentine Zabilndus path,trails,461 mi
723,Rhiqan path,trails,458 mi
9,Glowing road,roads,453 mi
218,Gakeraran trail,trails,447 mi
7,The Winding Titan way,roads,446 mi
562,Kleivan trail,trails,440 mi
897,Khonrud path,trails,429 mi
123,Sun trail,trails,424 mi
672,Harcadar track,trails,423 mi
834,Khizdushund trail,trails,419 mi
303,Tulukkhaz trail,trails,413 mi
2,Ember way,roads,407 mi
163,Jaldhean path,trails,404 mi
482,Gagalddud track,trails,402 mi
1014,The Silent Velvet lane,searoutes,401 mi
773,Rhekisiaq trail,trails,383 mi
357,Kopuz pass,trails,372 mi
8,The Echoing Wraith highway,roads,370 mi
702,Managlothviing track,trails,369 mi
416,Storestglenese pass,trails,363 mi
81,Glowing trail,trails,355 mi
726,Ongniud track,trails,346 mi
720,Bhian trail,trails,344 mi
151,Kor Okut trail,trails,344 mi
412,Burthugan trail,trails,343 mi
327,Littpeak trail,trails,343 mi
1019,Banocarayan sea route,searoutes,335 mi
826,Lialraq trail,trails,334 mi
722,Khatsalanzan trail,trails,333 mi
639,Efovedenese trail,trails,332 mi
1026,Yepelian seaway,searoutes,330 mi
839,Galgzahan trail,trails,328 mi
941,Garican trail,trails,328 mi
352,Kiruledhor trail,trails,325 mi
515,Millshield track,trails,322 mi
246,Aslan trail,trails,321 mi
985,Ebon passage,searoutes,317 mi
567,Heartvault trail,trails,316 mi
347,High trail,trails,312 mi
896,Shayanese pass,trails,311 mi
354,Shadowy trail,trails,310 mi
351,Burthugan trail,trails,303 mi
237,Vrazoghan trail,trails,302 mi
903,Thyvenath track,trails,297 mi
811,Zararan pass,trails,294 mi
670,Shunnerg trail,trails,292 mi
819,Imyheluman trail,trails,292 mi
102,Oneyvaleholese trail,trails,285 mi
1008,Nuledan sea route,searoutes,283 mi
910,The Great Narilelwenese trail,trails,283 mi
49,Ultunese trail,trails,283 mi
638,Orkh Ayangor path,trails,281 mi
1002,Naless passage,searoutes,281 mi
78,Dusk track,trails,280 mi
633,Gurvanlig trail,trails,277 mi
632,Tulaandakh trail,trails,276 mi
287,Spectral trail,trails,274 mi
553,Ethereal track,trails,274 mi
947,Nightshade pass,trails,273 mi
836,Shunese trail,trails,271 mi
1042,Guzarbar sea route,searoutes,270 mi
22,The Cobbled Beynak path,trails,269 mi
1003,The Sacred Dawn lane,searoutes,268 mi
